id,generated_on,line_id,line_id_stateless,trip_code,station_id,station_name,station_platform,station_coords,planned_arr_time,planned_dep_time,arr_delay,dep_delay
b83365d7-c87d-4d7d-8cac-474ba5344f19,2023-10-03T01:30:14.103832000,12M12,eva:12M12: :R:j23,20,20009355,Essen Jahnplatz,2,"777057.00000,5295538.00000",2023-10-03T00:08:00.000000000,2023-10-03T00:08:00.000000000,11,11
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009431,Essen Leimgardtsfeld,4,"774439.00000,5293765.00000",2023-10-03T00:01:00.000000000,2023-10-03T00:01:00.000000000,18,18
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009676,Essen An Don Bosco,1,"775108.00000,5294111.00000",2023-10-03T00:02:00.000000000,2023-10-03T00:02:00.000000000,17,17
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009675,Essen Altenberg,1,"775796.00000,5293787.00000",2023-10-03T00:03:00.000000000,2023-10-03T00:03:00.000000000,16,16
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009667,Essen Zinkstr.,1,"776278.00000,5293504.00000",2023-10-03T00:04:00.000000000,2023-10-03T00:04:00.000000000,15,15
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009150,Essen Bergeborbeck Bf,2,"776685.00000,5293626.00000",2023-10-03T00:05:00.000000000,2023-10-03T00:05:00.000000000,14,14
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009162,Essen Bocholder Str.,2,"776848.00000,5294057.00000",2023-10-03T00:06:00.000000000,2023-10-03T00:06:00.000000000,13,13
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009152,Essen Bergmühle,2,"776717.00000,5294656.00000",2023-10-03T00:07:00.000000000,2023-10-03T00:07:00.000000000,12,12
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009355,Essen Jahnplatz,2,"777057.00000,5295538.00000",2023-10-03T00:08:00.000000000,2023-10-03T00:08:00.000000000,11,11
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009283,Essen Hamborner Str.,2,"777313.00000,5295977.00000",2023-10-03T00:09:00.000000000,2023-10-03T00:09:00.000000000,10,10
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009306,Essen Helenenstr.,3,"777055.00000,5296748.00000",2023-10-03T00:10:00.000000000,2023-10-03T00:10:00.000000000,9,9
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009407,Essen Kronenberg,3,"777498.00000,5297051.00000",2023-10-03T00:11:00.000000000,2023-10-03T00:11:00.000000000,8,8
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009290,Essen thyssenkrupp,3,"778503.00000,5297095.00000",2023-10-03T00:12:00.000000000,2023-10-03T00:12:00.000000000,7,7
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009153,Essen Berliner Platz,2,"779673.00000,5297075.00000",2023-10-03T00:14:00.000000000,2023-10-03T00:14:00.000000000,5,5
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009989,Essen Kreuzeskirchstr.,1,"780200.00000,5296903.00000",2023-10-03T00:15:00.000000000,2023-10-03T00:15:00.000000000,4,4
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009712,Essen Rheinischer Platz,1,"780701.00000,5296591.00000",2023-10-03T00:16:00.000000000,2023-10-03T00:16:00.000000000,3,3
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009619,Essen Viehofer Platz,1,"780874.00000,5296821.00000",2023-10-03T00:17:00.000000000,2023-10-03T00:17:00.000000000,2,2
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009492,Essen Rathaus Essen,8,"780916.00000,5297415.00000",2023-10-03T00:18:00.000000000,2023-10-03T00:18:00.000000000,1,1
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009260,Essen Goldschmidtstr.,3,"781709.00000,5297408.00000",2023-10-03T00:20:00.000000000,2023-10-03T00:20:00.000000000,1,1
0666c239-9d30-4e09-806f-da7ad2e2d1dc,2023-10-03T01:00:17.081501000,12M12,eva:12M12: :R:j23,20,20009623,Essen Hollestr.,3,"781536.00000,5297990.00000",2023-10-03T00:22:00.000000000,2023-10-03T00:22:00.000000000,1,1
00d69578-90f3-4bbe-9b34-28a004ee93e0,2023-10-03T01:00:17.082826000,92E02,ddb:92E02: :R:j23,6,20005613,Gelsenkirchen Hbf,4,"790704.00000,5288861.00000",,2023-10-03T00:54:00.000000000,0,4
00d69578-90f3-4bbe-9b34-28a004ee93e0,2023-10-03T01:00:17.082826000,92E02,ddb:92E02: :R:j23,6,20005031,Gelsenkirchen Rotthausen Bf,2,"789153.00000,5291040.00000",2023-10-03T00:57:00.000000000,2023-10-03T00:57:00.000000000,4,5
00d69578-90f3-4bbe-9b34-28a004ee93e0,2023-10-03T01:00:17.082826000,92E02,ddb:92E02: :R:j23,6,20009404,Essen Kray Nord Bahnhof,4,"788174.00000,5295246.00000",2023-10-03T01:00:00.000000000,2023-10-03T01:00:00.000000000,4,5
bf1a4774-5d93-4b0c-a727-3be690375d3b,2023-10-03T01:00:17.083852000,12M12,eva:12M12: :R:j23,20,20009431,Essen Leimgardtsfeld,4,"774439.00000,5293765.00000",2023-10-03T00:01:00.000000000,2023-10-03T00:01:00.000000000,18,18
bf1a4774-5d93-4b0c-a727-3be690375d3b,2023-10-03T01:00:17.083852000,12M12,eva:12M12: :R:j23,20,20009676,Essen An Don Bosco,1,"775108.00000,5294111.00000",2023-10-03T00:02:00.000000000,2023-10-03T00:02:00.000000000,17,17
bf1a4774-5d93-4b0c-a727-3be690375d3b,2023-10-03T01:00:17.083852000,12M12,eva:12M12: :R:j23,20,20009675,Essen Altenberg,1,"775796.00000,5293787.00000",2023-10-03T00:03:00.000000000,2023-10-03T00:03:00.000000000,16,16
bf1a4774-5d93-4b0c-a727-3be690375d3b,2023-10-03T01:00:17.083852000,12M12,eva:12M12: :R:j23,20,20009667,Essen Zinkstr.,1,"776278.00000,5293504.00000",2023-10-03T00:04:00.000000000,2023-10-03T00:04:00.000000000,15,15
bf1a4774-5d93-4b0c-a727-3be690375d3b,2023-10-03T01:00:17.083852000,12M12,eva:12M12: :R:j23,20,20009150,Essen Bergeborbeck Bf,2,"776685.00000,5293626.00000",2023-10-03T00:05:00.000000000,2023-10-03T00:05:00.000000000,14,14
bf1a4774-5d93-4b0c-a727-3be690375d3b,2023-10-03T01:00:17.083852000,12M12,eva:12M12: :R:j23,20,20009162,Essen Bocholder Str.,2,"776848.00000,5294057.00000",2023-10-03T00:06:00.000000000,2023-10-03T00:06:00.000000000,13,13
bf1a4774-5d93-4b0c-a727-3be690375d3b,2023-10-03T01:00:17.083852000,12M12,eva:12M12: :R:j23,20,20009152,Essen Bergmühle,2,"776717.00000,5294656.00000",2023-10-03T00:07:00.000000000,2023-10-03T00:07:00.000000000,12,12
bf1a4774-5d93-4b0c-a727-3be690375d3b,2023-10-03T01:00:17.083852000,12M12,eva:12M12: :R:j23,20,20009355,Essen Jahnplatz,2,"777057.00000,5295538.00000",2023-10-03T00:08:00.000000000,2023-10-03T00:08:00.000000000,11,11
bf1a4774-5d93-4b0c-a727-3be690375d3b,2023-10-03T01:00:17.083852000,12M12,eva:12M12: :R:j23,20,20009283,Essen Hamborner Str.,2,"777313.00000,5295977.00000",2023-10-03T00:09:00.000000000,2023-10-03T00:09:00.000000000,10,10
496c9ffe-acce-4e76-96ab-fce15121fffd,2023-10-03T01:30:14.102848000,12M12,eva:12M12: :R:j23,20,20009290,Essen thyssenkrupp,3,"778503.00000,5297095.00000",2023-10-03T00:12:00.000000000,2023-10-03T00:12:00.000000000,7,7
496c9ffe-acce-4e76-96ab-fce15121fffd,2023-10-03T01:30:14.102848000,12M12,eva:12M12: :R:j23,20,20009153,Essen Berliner Platz,2,"779673.00000,5297075.00000",2023-10-03T00:14:00.000000000,2023-10-03T00:14:00.000000000,5,5
496c9ffe-acce-4e76-96ab-fce15121fffd,2023-10-03T01:30:14.102848000,12M12,eva:12M12: :R:j23,20,20009989,Essen Kreuzeskirchstr.,1,"780200.00000,5296903.00000",2023-10-03T00:15:00.000000000,2023-10-03T00:15:00.000000000,4,4
496c9ffe-acce-4e76-96ab-fce15121fffd,2023-10-03T01:30:14.102848000,12M12,eva:12M12: :R:j23,20,20009712,Essen Rheinischer Platz,1,"780701.00000,5296591.00000",2023-10-03T00:16:00.000000000,2023-10-03T00:16:00.000000000,3,3
496c9ffe-acce-4e76-96ab-fce15121fffd,2023-10-03T01:30:14.102848000,12M12,eva:12M12: :R:j23,20,20009619,Essen Viehofer Platz,1,"780874.00000,5296821.00000",2023-10-03T00:17:00.000000000,2023-10-03T00:17:00.000000000,2,2
496c9ffe-acce-4e76-96ab-fce15121fffd,2023-10-03T01:30:14.102848000,12M12,eva:12M12: :R:j23,20,20009492,Essen Rathaus Essen,8,"780916.00000,5297415.00000",2023-10-03T00:18:00.000000000,2023-10-03T00:18:00.000000000,1,1
